(ep: 1, it: 5000, t: 0.002[s], ept: 0.00/0.11[h]) loss_total: 0.697, acc_r: 0.660
(ep: 1, it: 10000, t: 0.002[s], ept: 0.01/0.11[h]) loss_total: 0.692, acc_r: 0.640
(ep: 1, it: 15000, t: 0.002[s], ept: 0.01/0.11[h]) loss_total: 0.693, acc_r: 0.800
(ep: 1, it: 20000, t: 0.001[s], ept: 0.01/0.11[h]) loss_total: 0.693, acc_r: 0.690
(ep: 1, it: 25000, t: 0.001[s], ept: 0.02/0.11[h]) loss_total: 0.691, acc_r: 0.730
(ep: 1, it: 30000, t: 0.002[s], ept: 0.02/0.11[h]) loss_total: 0.688, acc_r: 0.660
(ep: 1, it: 35000, t: 0.002[s], ept: 0.02/0.11[h]) loss_total: 0.685, acc_r: 0.760
(ep: 1, it: 40000, t: 0.002[s], ept: 0.03/0.11[h]) loss_total: 0.653, acc_r: 0.700
(ep: 1, it: 45000, t: 0.002[s], ept: 0.03/0.11[h]) loss_total: 0.661, acc_r: 0.660
(ep: 1, it: 50000, t: 0.001[s], ept: 0.04/0.11[h]) loss_total: 0.660, acc_r: 0.660
(ep: 1, it: 55000, t: 0.002[s], ept: 0.04/0.11[h]) loss_total: 0.683, acc_r: 0.680
(ep: 1, it: 60000, t: 0.002[s], ept: 0.04/0.11[h]) loss_total: 0.673, acc_r: 0.650
(ep: 1, it: 65000, t: 0.002[s], ept: 0.05/0.11[h]) loss_total: 0.598, acc_r: 0.700
(ep: 1, it: 70000, t: 0.001[s], ept: 0.05/0.11[h]) loss_total: 0.620, acc_r: 0.610
(ep: 1, it: 75000, t: 0.002[s], ept: 0.05/0.11[h]) loss_total: 0.580, acc_r: 0.720
(ep: 1, it: 80000, t: 0.001[s], ept: 0.06/0.11[h]) loss_total: 0.617, acc_r: 0.630
(ep: 1, it: 85000, t: 0.002[s], ept: 0.06/0.11[h]) loss_total: 0.629, acc_r: 0.680
(ep: 1, it: 90000, t: 0.002[s], ept: 0.06/0.11[h]) loss_total: 0.613, acc_r: 0.700
(ep: 1, it: 95000, t: 0.002[s], ept: 0.07/0.11[h]) loss_total: 0.622, acc_r: 0.680
(ep: 1, it: 100000, t: 0.002[s], ept: 0.07/0.11[h]) loss_total: 0.676, acc_r: 0.700
(ep: 1, it: 105000, t: 0.002[s], ept: 0.07/0.11[h]) loss_total: 0.612, acc_r: 0.690
(ep: 1, it: 110000, t: 0.001[s], ept: 0.08/0.11[h]) loss_total: 0.544, acc_r: 0.780
(ep: 1, it: 115000, t: 0.002[s], ept: 0.08/0.11[h]) loss_total: 0.576, acc_r: 0.760
(ep: 1, it: 120000, t: 0.002[s], ept: 0.08/0.11[h]) loss_total: 0.497, acc_r: 0.790
(ep: 1, it: 125000, t: 0.002[s], ept: 0.09/0.11[h]) loss_total: 0.587, acc_r: 0.730
(ep: 1, it: 130000, t: 0.002[s], ept: 0.09/0.11[h]) loss_total: 0.639, acc_r: 0.690
(ep: 1, it: 135000, t: 0.002[s], ept: 0.10/0.11[h]) loss_total: 0.520, acc_r: 0.700
(ep: 1, it: 140000, t: 0.002[s], ept: 0.10/0.11[h]) loss_total: 0.650, acc_r: 0.650
(ep: 1, it: 145000, t: 0.001[s], ept: 0.10/0.11[h]) loss_total: 0.630, acc_r: 0.580
(ep: 1, it: 150000, t: 0.002[s], ept: 0.11/0.11[h]) loss_total: 0.588, acc_r: 0.650
(ep: 2, it: 3600, t: 0.002[s], ept: 0.00/0.11[h]) loss_total: 0.560, acc_r: 0.760
(ep: 2, it: 8600, t: 0.002[s], ept: 0.01/0.11[h]) loss_total: 0.503, acc_r: 0.780
(ep: 2, it: 13600, t: 0.002[s], ept: 0.01/0.11[h]) loss_total: 0.591, acc_r: 0.680
(ep: 2, it: 18600, t: 0.002[s], ept: 0.01/0.11[h]) loss_total: 0.564, acc_r: 0.700
(ep: 2, it: 23600, t: 0.002[s], ept: 0.02/0.11[h]) loss_total: 0.636, acc_r: 0.660
(ep: 2, it: 28600, t: 0.002[s], ept: 0.02/0.11[h]) loss_total: 0.587, acc_r: 0.680
(ep: 2, it: 33600, t: 0.002[s], ept: 0.02/0.11[h]) loss_total: 0.549, acc_r: 0.720
(ep: 2, it: 38600, t: 0.002[s], ept: 0.03/0.11[h]) loss_total: 0.540, acc_r: 0.680
(ep: 2, it: 43600, t: 0.001[s], ept: 0.03/0.11[h]) loss_total: 0.486, acc_r: 0.830
(ep: 2, it: 48600, t: 0.002[s], ept: 0.03/0.11[h]) loss_total: 0.584, acc_r: 0.690
(ep: 2, it: 53600, t: 0.002[s], ept: 0.04/0.11[h]) loss_total: 0.572, acc_r: 0.660
(ep: 2, it: 58600, t: 0.002[s], ept: 0.04/0.11[h]) loss_total: 0.532, acc_r: 0.780
(ep: 2, it: 63600, t: 0.002[s], ept: 0.04/0.11[h]) loss_total: 0.529, acc_r: 0.820
(ep: 2, it: 68600, t: 0.001[s], ept: 0.05/0.11[h]) loss_total: 0.547, acc_r: 0.770
(ep: 2, it: 73600, t: 0.002[s], ept: 0.05/0.11[h]) loss_total: 0.634, acc_r: 0.670
(ep: 2, it: 78600, t: 0.002[s], ept: 0.06/0.11[h]) loss_total: 0.570, acc_r: 0.720
(ep: 2, it: 83600, t: 0.001[s], ept: 0.06/0.11[h]) loss_total: 0.516, acc_r: 0.790
(ep: 2, it: 88600, t: 0.002[s], ept: 0.06/0.11[h]) loss_total: 0.508, acc_r: 0.760
(ep: 2, it: 93600, t: 0.002[s], ept: 0.07/0.11[h]) loss_total: 0.509, acc_r: 0.730
(ep: 2, it: 98600, t: 0.002[s], ept: 0.07/0.11[h]) loss_total: 0.501, acc_r: 0.740
(ep: 2, it: 103600, t: 0.002[s], ept: 0.07/0.11[h]) loss_total: 0.582, acc_r: 0.710
(ep: 2, it: 108600, t: 0.002[s], ept: 0.08/0.11[h]) loss_total: 0.581, acc_r: 0.680
(ep: 2, it: 113600, t: 0.001[s], ept: 0.08/0.11[h]) loss_total: 0.524, acc_r: 0.750
